186-57-00706,(JS)미디어,육근식,도매,실사장비및자재(현수막),,ygs1471@nate.com,"세종특별자치시 새롬남로 98 (새롬동, 새뜸마을9단지) 903동501호","세종특별자치시 새롬남로 98 (새롬동, 새뜸마을9단지) 903동501호",1,010-7427-7112,010-7427-7112,,일별,YES,등록
314-09-77449,(광고기획) 푸른솔,황재익,서비스,광고디자인,,hji6507@daum.net,대전광역시 서구 월평새뜸로8번길 48 (월평동),대전광역시 서구 월평새뜸로8번길 48 (월평동),1,010-3407-2152,010-3407-2152,,일별,YES,등록
306-82-04555,(복) 대전벧엘원,이성조,,,283-7693,tjsj8001@hanmail.net,대전광역시 동구 인동 78-7,대전광역시 동구 인동 78-7,1,010-6889-3838,,,일별,YES,등록
314-82-01409,(복)성재원성세재활자립원,정상수,제조업,프라스틱백 포대,540-3388,sjw33800@hanmail.net,대전광역시 유성구 유성대로298번길 175 (용계동),대전광역시 유성구 유성대로298번길 175 (용계동),1,540-3380,,,미분류,YES,등록
127-82-19945,(사)경기도옥외광고협회포천시지부,최영춘,서비스,광고,031-536-4111,pcgoaa@naver.com,경기도 포천시 군내면 포천로 1507 1층,경기도 포천시 군내면 포천로 1507 1층,1,031-536-4110,,,일별,YES,등록
101-82-04611,(사)국학원,김세곤,,,,,충청남도 천안시 동남구 목천읍 지산리 167-1 국학원,충청남도 천안시 동남구 목천읍 지산리 167-1 국학원,1,041-620-6700,,,미분류,YES,등록
401-82-10707,(사)군산사암자원봉사회,하태수,,,,ks3315800@daum.net,전북특별자치도 군산시 서수면 함안로 57-29 1층,전북특별자치도 군산시 서수면 함안로 57-29 1층,1,010-8369-7008,010-8369-7008,,미분류,YES,등록
220-82-01439,(사)금융결제원,이상헌,도매 통신,사무용기기외,,,서울특별시 강남구 역삼동 717 금융결제원,서울특별시 강남구 역삼동 717 금융결제원,1,,,,미분류,YES,등록
314-82-07475,(사)대전시지체장애인협회서구지회,권준석,서비스,주차장,,kappd1603@hanmail.net,대전광역시 서구 만년로67번길 18-13 (만년동) 3층,대전광역시 서구 만년로67번길 18-13 (만년동) 3층,1,,,,일별,YES,등록
314-82-08042,(사)대한민국태극기선양운동국기유공자회,,,,042-223-0815,,대전광역시 동구 중동 21-26,대전광역시 동구 중동 21-26,1,042-257-0317,010-4423-6842,,미분류,YES,등록
215-82-05262,(사)대한탁구협회,유승민,서비스업,광고,,webmaster@koreatta.or.kr,서울특별시 송파구 올림픽로 424 (방이동) 411호,서울특별시 송파구 올림픽로 424 (방이동) 411호,1,,,,일별,YES,등록
720-82-00094,(사)성원근로장애인협회 중앙사업단,백성구,제조업,방송장비,,0090sw@daum.net,대전광역시 동구 태전로 87 (삼성동) 1층,대전광역시 동구 태전로 87 (삼성동) 1층,1,042-624-0924,010-8810-9896,,미분류,YES,등록
104-82-10451,(사)장애인생산품판매지원협회인쇄사업소,이용국,제조,인쇄,02-2269-5529,dec5523@hanmail.net,서울특별시 성동구 아차산로5길 24-27 (성수동2가) 1 2층,서울특별시 성동구 아차산로5길 24-27 (성수동2가) 1 2층,1,02-2269-5523,,,미분류,YES,등록
616-82-04092,(사)제주특별자치도관광협회,김영진,서비스,쿠폰판매대행,,mymipy@naver.com,제주특별자치도 제주시 선덕로 23 (연동),제주특별자치도 제주시 선덕로 23 (연동),1,064-741-8773,,,미분류,YES,등록
306-82-04384,(사)충청남도관광협회,윤항섭,,,,,대전광역시 중구 선화동 361-3 현덕빌딩 201호,대전광역시 중구 선화동 361-3 현덕빌딩 201호,1,,,,미분류,YES,등록
314-82-03300,(사)한국선급,오공균,서비스,선박검사,862-6012,,대전광역시 유성구 장동 23-7 한국선급,대전광역시 유성구 장동 23-7 한국선급,1,869-9036,,,미분류,YES,등록
825-82-00536,(사)호국보훈기념사업회,권홍주,,,,hy0551@nate.com,대전광역시 중구 계백로 1719 (오류동) 1105호(센트리아오피스텔),대전광역시 중구 계백로 1719 (오류동) 1105호(센트리아오피스텔),1,010-2525-0551,010-2525-0551,,미분류,YES,등록
407-81-16681,(유)광고시대,윤순기,건설외,경미한공사외,063-625-4753,ysk9815@hanmail.net,전북특별자치도 남원시 도통동 509-5 광고시대,전북특별자치도 남원시 도통동 509-5 광고시대,1,063-625-9815,,,미분류,YES,등록
